callsign,flight_number,date,aircraft_type_icao,origin_iata,destination_iata,origin_latitude_deg,origin_longitude_deg,destination_latitude_deg,destination_longitude_deg,origin_country,destination_country,duration_hours,total_distance_km,great_circle_distance_km,great_circle_ratio,LTO_CO2_kg,CCD_CO2_kg,Total_CO2_kg
VLG3316,VY3316,2021-07-05,A20N,FCO,JTR,41.804532,12.251998,36.400045,25.478638,IT,GR,1.58,1340.02,1288.0006986651251,0.9611802052694177,685.35,10968.32,11653.67
VLG38RP,,,A320,BCN,PMI,41.2971,2.07846,39.551701,2.73881,ES,ES,0.45,242.65,201.97414078485818,0.8323681878625929,806.3,3198.22,4004.52
VLG78LT,,,A320,IBZ,BCN,38.872898,1.37312,41.2971,2.07846,ES,ES,0.64,343.26,276.1640126138499,0.8045330437972671,806.3,4088.06,4894.36
VLG1QN,,,A320,ALC,BCN,38.2822,-0.558156,41.2971,2.07846,ES,ES,0.78,485.43,403.86762427607465,0.8319791201122194,806.3,5345.48,6151.78
VLG71WK,,,A321,BCN,ACE,41.2971,2.07846,28.945499,-13.6052,ES,ES,2.73,2045.88,1974.1972006027345,0.9649623636785806,689.1,22088.19,22777.29
VLG8255,VY8255,2021-07-05,A320,ALC,ORY,38.2822,-0.558156,48.72333,2.37944,ES,FR,1.98,1474.96,1184.7269540934649,0.8032264970531166,806.3,14097.38,14903.68
VLG1X,,,A321,BCN,MAH,41.2971,2.07846,39.862598,4.21865,ES,ES,0.5,284.16,241.05794119782644,0.8483176421657743,689.1,4109.51,4798.61
VLG2486,VY2486,2021-07-05,A319,BCN,EAS,41.2971,2.07846,43.356499,-1.79061,ES,ES,0.96,481.16,391.87024094550543,0.8144281339793529,725.0,4791.42,5516.42
VLG6212,VY6212,2021-07-05,A20N,FCO,AGP,41.804532,12.251998,36.6749,-4.49911,IT,ES,2.23,1586.91,1548.0800521710225,0.9755310963892234,685.35,12824.39,13509.75
VLG76AQ,,,A20N,VLC,ORY,39.4893,-0.481625,48.72333,2.37944,ES,FR,1.5,1105.81,1051.7121080119514,0.9510784926994252,685.35,9207.57,9892.92
VLG140U,,,A321,BCN,MXP,41.2971,2.07846,45.6306,8.72811,ES,IT,1.09,792.41,720.8202148323408,0.9096556262948988,689.1,9296.29,9985.39
VLG4AM,,,A320,BCN,ORY,41.2971,2.07846,48.72333,2.37944,ES,FR,1.27,875.76,826.1261861437757,0.9433248677077918,806.3,8797.76,9604.06
VLG87UJ,,,A320,,MXP,,,45.6306,8.72811,,IT,1.25,1015.04,975.6934559286673,0.9612364595766347,806.3,10029.62,10835.92
VLG73AB,,,A320,BCN,BRU,41.2971,2.07846,50.901402,4.48444,ES,BE,1.68,1215.41,1083.8219191144028,0.8917335871141449,806.3,11801.79,12608.09
VLG64KJ,VY1674,2021-07-05,A20N,SCQ,BCN,42.896301,-8.41514,41.2971,2.07846,ES,ES,1.15,916.33,883.2840940369294,0.9639366756920863,685.35,7783.09,8468.45
VLG9UL,,,A20N,ORY,FCO,48.72333,2.37944,41.804532,12.251998,FR,IT,1.38,1136.49,1088.7051244459017,0.9579539850292582,685.35,9438.21,10123.57
VLG1983,VY1983,2021-07-05,A320,ORY,LIS,48.72333,2.37944,38.7813,-9.13592,FR,PT,2.39,1554.51,1438.1632218986754,0.9251553363430762,806.3,14800.96,15607.26
VLG6203,VY6203,2021-07-05,A320,BCN,GVA,41.2971,2.07846,46.238098,6.10895,ES,CH,1.1,778.22,637.4698810036843,0.8191383940321302,806.3,7935.06,8741.36
VLG3256,VY3256,2021-07-05,A320,SVQ,TFN,37.417999,-5.89311,28.482752,-16.341707,ES,ES,1.92,1436.29,1390.190930588451,0.9679040657446971,806.3,13755.36,14561.66
VLG77AW,VY3940,2021-07-05,A320,PMI,SVQ,39.551701,2.73881,37.417999,-5.89311,ES,ES,1.27,830.01,787.5419591764767,0.9488343022089815,806.3,8393.12,9199.42
VLG52GM,,,A320,SVQ,BIO,37.417999,-5.89311,43.301102,-2.91061,ES,ES,1.02,734.85,701.1793550512668,0.9541802477393574,806.3,7551.48,8357.78
VLG1502,VY1502,2021-07-05,A319,FLR,ORY,43.808558,11.202822,48.72333,2.37944,IT,FR,1.49,911.18,870.1231310287112,0.9549409897371663,725.0,8229.03,8954.03
VLG2608,VY2608,2021-07-05,A320,AGP,BIO,36.6749,-4.49911,43.301102,-2.91061,ES,ES,1.11,788.56,749.1098254526187,0.9499718796954179,806.3,8026.52,8832.82
VLG8937,VY8937,2021-07-05,A320,SCQ,BRU,42.896301,-8.41514,50.901402,4.48444,ES,BE,1.66,1376.02,1320.581276326302,0.9597108154869131,806.3,13222.3,14028.6
VLG45GN,VY8365,2021-07-05,A320,AGP,AMS,36.6749,-4.49911,52.308601,4.76389,ES,NL,2.5,1959.42,1883.725013846451,0.9613686773874162,806.3,18382.18,19188.48
VLG68EZ,VY3965,2021-07-05,A320,VLC,SVQ,39.4893,-0.481625,37.417999,-5.89311,ES,ES,0.88,536.18,524.387310900514,0.9780061003776979,806.3,5794.34,6600.64
